100	4950
41	44	114
9	76	179
9	71	5
65	85	90
41	69	83
50	57	94
6	41	161
3	94	44
38	64	54
15	57	117
46	89	140
37	72	80
71	82	49
15	68	33
2	66	118
55	58	192
12	63	112
9	29	125
67	97	69
64	76	195
19	100	153
71	77	10
4	18	50
66	77	89
42	62	144
25	60	195
4	21	170
4	63	106
6	86	165
1	23	106
15	71	6
16	64	87
4	68	145
10	24	129
35	47	123
44	70	159
63	94	173
26	27	42
13	66	50
69	87	140
35	55	3
72	74	104
12	39	32
54	79	163
79	86	11
24	73	147
15	69	192
10	25	191
45	64	199
1	10	32
4	20	101
63	84	87
43	85	15
28	55	119
3	61	144
27	94	83
9	64	6
12	53	123
68	72	48
16	75	187
1	33	130
53	93	45
66	89	93
8	19	73
33	43	176
3	75	81
15	70	75
13	96	74
36	61	30
33	76	80
80	96	150
30	94	136
49	78	16
3	27	172
55	64	104
11	97	171
12	29	188
35	91	127
12	36	28
46	61	195
24	60	101
21	49	109
3	48	23
38	63	80
53	95	196
20	90	45
29	30	90
66	79	179
44	91	18
42	61	188
8	35	129
13	31	138
2	75	135
12	66	170
12	24	55
26	65	151
29	54	118
33	64	18
21	65	120
22	90	89
17	80	71
81	86	78
80	99	21
57	92	146
33	40	116
40	94	82
14	97	19
36	94	104
42	57	44
14	50	124
44	65	132
53	57	61
37	56	187
23	56	130
81	87	181
42	89	150
8	96	136
45	54	156
29	79	39
8	48	143
67	74	197
19	63	46
51	70	174
63	81	181
35	57	35
16	73	23
70	90	124
46	79	3
37	97	28
90	91	173
63	89	23
68	75	6
2	7	127
65	74	30
22	95	7
54	77	129
28	92	7
49	80	80
20	94	130
18	20	178
41	92	156
45	82	75
17	42	63
24	97	91
55	87	40
42	95	89
63	86	70
36	56	162
84	96	27
19	89	133
7	29	127
19	67	97
10	85	72
63	68	1
84	86	158
46	51	95
10	83	166
54	68	166
8	99	149
9	58	60
20	47	48
50	80	96
23	59	42
1	70	81
14	76	46
50	62	8
47	87	101
17	43	62
20	62	177
51	90	64
24	81	67
7	22	26
11	32	51
14	21	130
18	31	158
10	14	111
37	81	60
31	34	194
62	100	2
76	84	59
60	84	174
50	87	175
15	59	138
15	60	40
5	17	90
53	82	142
18	63	137
42	60	165
53	90	113
62	86	110
57	93	161
8	73	3
31	40	140
52	81	157
53	62	80
25	65	48
30	54	28
18	55	34
47	99	14
88	97	104
72	88	67
13	76	113
18	73	16
8	52	63
18	49	9
22	73	195
22	52	40
7	79	192
56	64	168
65	83	171
40	97	42
37	68	169
24	28	104
54	66	162
39	86	8
28	39	157
49	88	148
45	48	171
48	80	55
13	49	168
4	24	146
14	99	184
37	41	41
8	17	94
88	91	111
13	52	35
78	95	57
49	60	197
71	83	121
24	55	182
47	80	138
48	55	31
5	41	196
65	90	156
62	83	176
38	72	57
69	84	190
40	42	21
76	96	148
24	61	22
57	67	195
43	91	62
17	98	133
20	37	173
8	81	121
21	80	94
57	99	90
28	100	150
32	88	92
35	38	115
5	37	169
64	91	97
5	77	19
18	99	163
28	93	51
41	53	15
73	74	90
94	98	3
7	94	77
15	61	63
1	63	126
10	88	43
15	20	153
5	63	3
23	38	4
1	55	40
36	88	163
40	100	88
47	63	139
60	86	176
38	69	141
69	83	42
49	96	93
30	85	58
81	99	171
20	91	165
14	86	49
61	83	52
84	85	119
55	73	37
30	92	52
17	62	139
46	67	54
18	75	191
33	79	36
43	87	175
77	84	9
50	84	198
37	89	83
31	88	139
82	89	29
33	36	135
25	54	90
4	96	89
21	30	84
17	51	196
58	67	12
32	81	61
22	59	178
29	87	125
61	94	118
73	88	181
2	26	88
41	55	107
6	27	62
81	90	135
53	73	4
44	90	123
21	87	65
41	42	35
35	58	79
7	44	153
36	87	43
32	54	132
83	95	102
45	56	74
11	77	147
53	100	164
7	68	178
11	81	121
7	8	84
13	38	181
15	34	16
5	78	179
30	68	46
5	98	145
30	81	74
6	42	139
11	100	26
35	59	131
30	42	35
44	54	183
9	65	138
26	63	171
21	68	15
46	63	121
15	81	22
45	85	54
6	64	193
48	72	111
21	26	24
7	97	123
7	59	107
20	88	51
54	82	161
46	53	103
7	53	121
56	57	123
15	27	58
2	12	26
59	86	6
28	76	82
10	80	68
25	89	176
27	63	126
39	72	53
74	90	176
19	31	50
40	52	19
60	100	7
7	76	168
96	100	146
53	86	72
33	50	94
62	78	28
41	76	66
47	68	161
4	67	108
27	28	38
33	35	53
18	71	49
13	98	71
1	37	166
5	86	149
27	36	153
82	97	161
24	43	119
54	67	35
44	88	136
67	82	193
40	88	120
10	40	170
13	90	158
12	68	64
29	56	164
12	99	29
45	79	96
21	57	124
12	42	146
34	77	60
29	81	127
19	81	192
10	55	141
57	64	123
5	62	169
10	67	75
22	44	197
30	31	66
39	90	46
23	94	141
28	44	197
20	71	94
15	56	4
65	98	101
48	89	83
19	40	95
58	98	155
25	79	173
52	97	148
44	66	137
53	64	90
19	34	60
10	50	37
68	76	59
40	77	113
10	21	27
76	97	178
3	20	186
74	83	180
19	51	81
36	99	171
11	72	15
30	47	127
43	96	39
31	43	170
90	93	53
30	95	92
4	36	92
6	74	174
15	18	28
17	96	46
46	82	106
83	98	131
55	93	185
53	76	2
41	75	144
17	52	16
11	17	59
17	39	65
10	34	86
31	44	160
30	65	159
87	100	71
31	86	180
5	33	129
26	50	101
12	20	39
70	74	155
11	67	104
43	50	49
56	82	148
46	71	194
91	95	83
16	52	108
30	96	161
14	54	107
5	24	158
9	53	152
40	80	59
2	18	27
50	96	6
45	59	151
5	16	50
41	77	45
15	78	193
16	58	84
37	50	172
9	46	64
67	84	20
6	23	88
10	61	81
52	83	53
14	29	187
4	91	175
72	92	192
8	94	129
31	48	165
2	52	193
75	92	80
60	72	145
1	15	117
54	69	169
11	80	24
40	87	49
47	57	131
3	79	41
51	66	24
22	29	172
14	73	160
11	52	116
2	38	37
28	69	79
34	61	86
49	77	155
10	94	97
12	26	14
22	75	150
40	92	1
36	80	160
95	97	5
60	64	71
23	78	151
16	80	93
33	75	40
40	89	142
20	63	40
33	51	139
9	89	164
8	18	32
10	42	77
17	76	5
17	27	76
24	96	146
9	42	147
55	91	174
33	74	117
2	92	82
52	79	176
5	7	193
29	61	194
48	52	83
53	70	58
12	85	42
21	70	33
7	77	124
14	66	176
66	97	43
43	80	115
19	47	18
76	83	127
11	34	129
56	100	96
57	86	58
39	74	158
37	99	100
30	82	33
59	79	87
10	45	90
5	93	26
34	58	28
40	69	66
15	72	115
39	51	124
45	83	12
52	66	29
32	42	165
8	28	56
23	91	150
61	92	16
11	96	49
52	72	94
76	91	117
63	77	180
23	33	73
26	35	107
63	96	87
12	69	50
57	89	167
42	45	128
21	66	174
16	97	133
72	73	38
48	87	124
83	84	16
32	48	155
73	86	111
57	83	22
10	26	167
25	85	105
24	44	182
1	40	140
7	31	10
27	66	188
87	96	51
21	91	71
8	75	169
18	84	96
7	67	25
59	92	173
6	26	189
58	99	133
6	47	18
34	71	37
51	85	134
19	71	157
38	79	9
52	73	183
13	95	123
1	95	175
52	100	31
46	95	41
9	95	62
89	96	111
23	32	159
35	76	74
39	58	93
62	87	188
9	23	89
4	89	28
29	92	194
62	67	89
29	98	187
23	93	26
44	89	84
9	19	165
63	75	179
2	20	94
6	62	76
7	78	154
46	72	110
45	60	77
7	46	17
60	85	81
1	14	157
25	33	185
21	44	188
8	14	37
26	72	195
76	86	102
26	75	108
15	19	28
2	59	152
12	46	189
21	23	67
70	97	89
13	89	33
32	96	60
15	76	40
15	95	28
8	87	61
8	24	68
15	66	115
51	98	88
49	95	57
5	59	74
63	91	76
49	81	53
5	25	77
71	99	55
4	40	148
8	97	164
68	100	189
38	92	8
15	80	138
72	91	61
25	29	121
38	97	79
71	88	71
33	62	156
39	97	109
19	92	80
67	92	59
48	58	183
93	94	66
25	84	60
79	95	30
81	92	82
75	91	52
7	100	9
62	64	15
5	53	68
36	65	137
17	93	80
5	46	81
58	83	167
3	91	64
11	61	158
56	80	193
44	45	52
20	36	40
11	82	172
56	94	49
68	84	100
35	90	109
24	50	87
71	81	40
49	64	88
6	70	118
13	87	113
55	100	128
74	84	170
43	74	49
52	94	85
33	97	6
85	89	74
46	86	62
21	69	95
57	71	38
24	26	26
52	56	24
45	96	2
40	91	36
38	56	114
17	35	119
48	84	16
34	78	60
28	51	37
75	80	33
12	41	5
10	54	59
62	66	18
10	32	76
41	84	140
73	87	92
31	62	156
26	69	5
37	75	49
36	76	60
71	96	26
13	88	173
45	69	165
47	83	118
1	93	120
86	88	95
51	80	134
74	82	135
54	83	108
7	70	139
15	84	116
49	56	99
14	85	138
33	83	141
64	80	165
65	86	127
52	64	56
38	81	55
5	14	42
4	98	4
24	83	195
69	88	131
27	87	56
20	27	83
43	89	152
18	76	82
39	68	7
20	58	107
69	80	107
3	21	96
14	58	150
22	79	117
2	15	124
85	94	189
52	65	61
3	88	17
16	35	125
27	100	109
25	71	26
16	43	109
3	64	182
79	87	17
88	100	197
74	96	165
11	54	153
43	92	180
47	77	180
22	66	102
8	29	69
65	68	175
1	61	112
4	38	114
17	47	23
88	90	14
2	68	101
8	69	87
24	30	109
32	36	200
73	76	6
30	69	144
17	70	82
54	78	147
69	96	95
22	81	83
33	95	117
47	62	126
63	76	81
40	70	185
55	57	57
37	66	5
48	64	177
13	37	81
6	45	38
18	23	200
28	99	193
30	37	13
37	76	55
43	60	164
34	45	174
23	92	155
9	20	10
11	39	129
45	99	161
23	70	77
1	91	115
18	97	154
29	74	150
20	98	49
30	74	57
4	75	160
77	100	184
7	85	98
19	24	119
42	55	144
6	93	2
49	69	110
43	82	117
14	24	88
64	77	47
52	88	166
30	83	173
22	87	78
34	48	188
64	78	113
33	45	174
37	69	73
28	90	177
29	82	162
6	82	76
9	57	5
67	100	196
41	64	165
43	76	54
13	50	148
4	51	141
37	54	125
31	87	54
95	99	72
52	93	194
1	17	25
20	51	117
38	54	105
9	61	173
44	92	18
32	62	180
33	44	117
11	16	9
55	86	103
27	74	124
60	81	99
31	68	73
23	98	153
38	57	175
3	100	8
40	84	10
42	67	191
64	90	133
1	36	139
80	90	140
29	72	52
14	94	104
45	88	192
32	72	4
70	87	28
10	95	88
27	43	80
17	44	52
30	36	10
8	38	168
32	47	70
11	18	10
7	95	21
38	49	23
10	78	196
13	16	85
37	52	135
33	92	40
23	86	21
6	87	140
92	93	180
31	91	155
13	72	168
24	85	86
74	94	121
50	79	121
31	92	91
70	82	107
29	85	147
40	57	43
35	49	182
1	19	185
10	22	171
16	94	4
12	27	36
62	73	48
23	100	88
13	29	123
24	78	157
17	71	151
45	97	69
88	96	106
3	38	174
23	87	52
21	98	63
26	71	65
59	95	144
7	91	153
9	83	193
3	93	28
18	50	53
15	31	161
46	50	48
20	25	40
5	32	182
26	48	95
6	20	166
42	84	82
24	99	8
42	81	31
20	67	195
48	88	49
54	57	106
20	26	171
15	40	159
10	86	95
61	82	129
84	89	87
40	47	42
13	47	180
41	78	28
16	41	69
85	98	85
23	79	163
26	41	120
82	83	98
49	94	126
69	73	10
7	13	109
39	55	191
81	98	192
2	98	182
83	88	199
92	96	130
47	54	24
97	99	197
13	26	118
18	77	26
68	80	129
23	57	147
66	78	86
19	68	46
82	85	137
15	16	14
52	61	32
41	79	103
37	46	105
3	47	145
1	50	111
18	79	1
19	29	1
91	93	69
45	91	124
48	81	158
4	8	26
59	62	19
46	84	194
56	72	171
52	60	34
10	70	179
33	55	35
51	57	65
7	73	12
37	63	64
21	36	57
13	34	150
19	32	46
7	63	90
48	95	62
42	90	25
71	78	137
32	66	187
21	32	141
59	78	105
41	97	187
90	99	146
1	72	158
1	51	39
7	66	16
31	79	3
72	82	142
12	97	55
24	25	125
4	78	45
48	65	93
12	65	91
43	47	44
81	95	138
3	18	70
9	68	16
16	17	28
23	89	75
24	49	50
66	84	55
30	88	118
35	65	49
54	89	14
39	81	173
51	82	168
48	76	101
6	78	56
15	35	19
42	83	166
62	80	90
81	94	102
37	60	7
67	83	148
3	37	109
61	85	175
51	87	82
52	98	13
27	48	172
57	76	31
7	52	192
37	94	63
59	72	84
13	43	135
28	32	115
54	81	108
13	20	169
11	68	67
43	53	87
26	61	99
27	53	50
28	86	67
26	54	191
28	78	189
3	90	98
46	96	35
27	61	71
4	61	160
19	43	64
6	91	91
3	28	17
70	93	176
87	90	128
27	31	79
46	97	168
52	92	65
50	93	80
12	79	48
1	75	24
12	30	166
72	87	36
20	38	105
29	67	76
1	68	173
17	66	74
36	46	131
42	91	134
50	51	1
40	63	71
15	99	26
19	70	162
50	61	55
68	98	40
11	95	45
14	95	123
92	98	57
23	29	17
18	32	170
4	60	101
26	44	110
18	33	26
66	85	71
70	95	145
30	49	143
12	75	189
5	35	106
64	73	189
20	100	140
49	74	122
18	21	99
19	80	169
67	99	101
54	99	195
46	83	36
13	68	83
4	52	137
48	69	24
41	98	144
60	68	100
79	98	59
59	67	28
12	21	65
48	90	32
17	97	152
44	97	101
17	25	160
1	11	114
16	95	34
14	26	136
59	99	121
33	39	30
17	54	120
20	33	187
21	77	189
38	80	117
8	90	196
13	74	114
41	59	126
1	73	85
45	81	188
9	86	11
23	41	94
9	81	110
57	63	89
42	51	33
25	81	153
37	98	14
20	54	83
41	56	157
38	46	126
28	83	149
32	90	66
6	31	168
18	65	90
27	42	138
36	48	134
40	44	34
68	95	109
8	88	12
26	70	121
41	48	62
6	73	139
35	39	146
22	24	144
23	74	28
68	73	84
48	68	156
7	82	110
58	86	190
34	49	4
49	62	56
47	64	9
30	93	75
37	49	124
17	86	150
69	92	18
16	74	119
30	33	63
64	82	44
71	73	153
25	77	81
1	12	5
4	65	66
34	82	159
42	93	171
11	57	156
19	90	39
51	56	90
2	67	158
77	81	35
18	59	50
44	81	29
37	87	188
62	90	21
21	50	122
6	61	85
9	67	116
15	29	12
39	59	143
13	23	77
7	81	121
35	83	51
41	88	54
2	87	19
7	45	27
3	24	154
31	47	113
41	71	129
48	93	36
45	63	190
2	93	69
13	63	13
34	37	20
53	74	166
1	18	186
16	26	121
66	70	102
64	71	167
54	100	174
30	56	195
4	72	177
74	81	66
75	93	107
2	47	22
14	60	56
16	87	89
18	27	76
33	72	32
64	84	99
74	99	45
26	56	100
23	68	42
15	58	163
70	73	99
34	51	144
3	66	51
40	83	194
4	81	137
66	69	71
12	93	77
55	92	120
20	61	46
81	89	137
13	75	38
3	13	47
50	76	72
3	71	61
61	67	120
49	63	8
3	9	12
55	99	106
22	46	74
54	73	12
7	15	178
47	93	15
54	74	117
41	99	92
51	71	6
20	70	114
63	74	119
44	62	9
18	37	143
54	97	109
53	89	196
35	44	189
31	75	124
12	22	108
41	81	120
37	57	88
40	79	10
1	13	49
15	55	166
43	90	188
35	100	87
13	28	9
10	13	60
1	83	153
42	76	171
54	70	60
7	47	140
82	98	18
22	42	194
6	28	72
68	82	101
41	96	197
30	50	67
71	84	54
61	70	40
23	66	7
58	68	124
21	90	156
53	80	36
60	96	63
84	92	11
28	66	161
13	46	51
2	9	86
17	59	126
88	95	148
2	79	26
44	64	37
17	82	92
10	65	118
39	77	52
40	48	7
12	62	90
1	85	163
59	94	55
14	77	178
77	87	64
10	59	102
3	97	86
84	93	178
18	57	169
38	98	66
12	51	166
36	63	86
20	52	110
22	97	25
97	98	9
27	72	194
63	67	43
49	68	40
10	81	118
53	83	91
12	72	40
6	75	1
10	57	199
69	70	126
59	70	50
27	49	16
2	78	185
12	54	18
41	54	152
54	90	134
5	88	144
5	74	129
22	41	14
50	75	97
43	75	120
10	96	114
33	86	29
18	24	186
38	44	173
39	73	154
87	93	41
50	78	62
55	74	12
42	100	151
2	84	34
9	74	7
2	48	119
45	92	59
35	86	148
58	71	152
6	8	85
39	100	111
6	100	135
17	41	187
3	5	16
41	86	166
19	91	159
41	60	6
15	73	198
10	53	93
40	96	76
44	46	138
54	91	160
29	46	186
39	40	99
56	69	123
28	33	166
12	34	34
64	68	68
52	71	3
17	37	137
31	84	57
3	12	131
32	68	119
19	96	95
5	89	174
31	69	183
30	99	64
92	95	19
8	47	164
67	81	6
31	95	131
26	38	42
14	83	155
85	87	54
16	34	33
7	18	31
16	24	140
80	81	165
30	44	40
23	72	112
35	64	9
87	94	34
43	45	152
31	64	174
51	60	98
8	77	74
64	67	135
19	98	121
57	98	129
12	28	60
5	76	150
14	36	162
36	81	151
9	30	78
42	87	146
55	70	24
44	73	29
58	69	86
10	63	44
46	77	171
64	81	116
6	77	65
69	81	97
16	70	108
50	74	69
24	46	103
19	62	162
4	74	51
47	51	74
47	61	132
58	95	149
72	93	95
6	29	123
18	41	9
33	49	82
40	78	178
8	65	66
49	82	146
16	55	15
47	100	66
53	54	71
67	87	6
42	77	149
54	94	17
9	49	85
27	68	2
56	98	33
41	51	21
47	90	99
27	80	53
29	64	179
66	90	57
2	31	12
5	84	61
39	43	122
63	90	187
13	100	87
11	23	73
11	31	55
5	51	4
44	71	39
46	78	173
38	51	149
50	81	195
17	75	116
72	76	74
48	63	151
13	91	138
21	86	73
50	67	139
34	90	122
47	72	159
34	92	21
36	53	184
40	62	199
6	48	53
48	79	186
1	90	175
25	90	155
32	85	64
55	61	88
42	47	78
11	24	150
29	34	109
53	72	122
24	82	179
1	7	191
1	6	199
53	99	160
66	88	36
2	46	102
19	58	67
68	86	156
17	45	183
17	67	41
25	88	45
24	90	149
57	70	179
14	69	32
53	79	16
1	99	87
12	19	29
28	58	105
34	94	82
22	65	81
18	36	196
78	97	188
49	66	6
19	42	70
47	53	86
40	46	104
73	83	177
38	55	84
59	91	105
13	61	188
31	72	5
39	50	144
21	84	50
21	58	111
46	48	81
2	34	16
6	54	49
67	69	49
49	54	30
56	93	64
68	94	10
17	87	175
44	77	196
31	32	133
39	67	94
51	100	147
3	53	147
77	88	93
9	17	177
19	37	58
5	45	163
2	33	13
12	47	122
2	23	117
60	93	92
41	52	65
1	32	69
48	73	56
2	19	198
18	94	88
66	82	196
38	53	142
44	72	43
64	83	117
4	23	26
1	84	66
27	82	88
77	97	8
69	75	87
16	49	23
33	58	39
16	36	51
8	62	151
57	80	17
82	94	112
9	94	197
39	42	138
74	92	138
6	65	188
30	45	58
75	76	189
45	62	127
63	95	112
87	98	56
37	96	128
84	94	104
26	83	48
6	30	20
16	22	150
5	12	68
30	57	121
38	82	155
32	95	161
47	89	74
33	52	38
27	34	170
20	32	139
49	99	65
4	66	188
23	47	199
11	20	6
40	93	32
17	63	22
20	82	189
20	87	148
13	86	151
14	84	9
10	29	83
20	41	48
71	76	125
68	90	177
33	53	166
8	40	59
44	98	7
3	15	27
32	39	99
19	23	160
46	54	119
4	92	25
26	100	30
89	95	33
64	89	115
86	89	153
3	82	53
69	71	95
18	88	34
21	46	54
14	80	109
9	38	142
7	51	90
37	39	69
10	69	173
34	41	110
28	61	173
9	82	185
25	96	166
18	86	35
70	89	143
38	66	88
12	81	57
3	62	174
27	58	82
3	85	172
15	21	185
67	68	195
24	86	146
22	67	51
51	84	84
23	97	153
8	68	114
18	83	23
62	79	143
25	80	36
19	97	189
75	78	150
6	43	71
16	32	6
18	26	53
22	77	3
17	56	96
54	84	2
61	86	15
96	98	68
1	38	26
4	7	159
75	95	189
4	37	90
24	69	55
39	88	124
10	79	43
39	60	132
58	60	126
33	56	54
66	75	99
29	43	76
29	60	99
1	41	123
65	77	105
19	39	80
33	41	69
20	23	19
8	53	55
5	92	162
34	65	87
10	97	33
8	56	98
2	49	89
60	65	8
30	32	126
34	67	11
39	87	118
34	80	106
19	76	167
14	20	159
6	11	72
3	99	142
63	85	26
2	54	104
25	55	80
19	33	143
75	90	77
21	62	18
17	30	5
64	75	187
39	92	7
53	96	15
13	14	113
58	87	45
25	78	85
11	14	195
11	45	58
61	73	93
42	72	158
57	75	64
53	60	43
32	86	78
55	88	111
79	88	35
17	91	193
31	38	120
17	65	96
76	80	141
7	25	46
59	100	132
39	46	173
4	46	195
12	92	17
8	100	122
14	100	166
51	78	198
10	35	147
73	75	70
90	100	40
15	94	84
47	95	92
11	65	150
30	89	1
21	81	86
20	56	156
22	64	70
39	71	72
17	73	48
39	79	50
17	48	181
57	96	51
72	84	108
6	18	17
16	25	13
38	61	143
46	75	39
22	88	70
24	63	143
5	40	11
62	93	122
86	100	115
2	100	148
2	81	69
32	38	10
17	61	191
67	72	45
14	59	188
55	94	64
22	69	36
2	3	156
26	85	44
4	27	42
37	80	23
53	58	145
31	33	157
36	52	152
52	89	92
14	33	110
32	49	28
62	76	8
4	56	199
40	50	139
24	62	65
18	92	107
78	98	52
30	90	3
21	82	47
14	98	70
53	63	144
8	58	29
43	95	183
15	44	186
31	42	109
17	60	116
37	58	190
65	67	140
76	99	131
59	89	111
47	70	114
12	64	13
74	97	105
22	82	42
8	98	1
55	95	107
57	90	16
51	88	115
8	23	10
55	80	102
43	77	161
14	65	150
27	81	10
16	38	4
39	49	1
62	72	193
19	72	112
56	77	62
19	41	100
27	39	81
5	50	97
23	25	136
35	46	23
34	63	115
77	94	5
55	81	149
10	11	125
9	35	11
46	52	152
4	85	105
12	94	155
65	76	137
8	20	50
67	71	37
8	72	132
78	84	15
76	78	7
60	79	47
21	85	38
84	88	157
48	56	112
29	53	143
37	51	51
73	80	157
44	95	160
48	92	83
56	74	1
74	95	15
16	90	192
30	78	91
60	77	130
14	27	125
55	60	180
5	99	62
81	82	132
20	74	88
29	41	188
43	97	139
77	99	42
10	91	26
35	69	123
33	34	145
7	30	138
38	60	186
17	90	187
8	10	80
75	94	45
51	68	179
19	74	143
37	43	110
31	57	170
78	86	45
2	42	199
44	56	163
3	89	3
4	93	115
2	76	40
33	69	173
43	63	94
58	62	195
21	100	122
5	82	164
7	19	125
42	73	33
28	42	200
47	82	55
47	85	78
16	50	84
17	95	60
26	34	141
18	93	92
63	98	103
80	95	88
60	70	13
39	82	61
54	71	42
40	51	165
55	75	103
4	14	82
22	38	159
65	95	104
5	18	64
33	80	178
2	90	77
51	64	192
81	88	170
66	91	103
45	75	192
25	92	122
7	34	186
33	48	191
14	30	143
23	60	197
5	27	32
80	86	21
29	33	84
76	79	14
42	79	43
14	93	86
13	84	56
61	77	165
32	51	50
4	12	188
57	79	100
71	91	78
76	82	180
20	69	165
25	69	169
19	36	41
9	37	17
8	67	141
60	88	89
26	77	170
78	94	94
30	91	112
64	85	164
50	58	58
39	48	85
22	35	193
73	84	4
13	35	132
82	92	187
48	51	23
2	44	145
57	81	33
57	73	64
44	63	2
81	91	142
10	58	157
58	82	130
78	90	130
41	80	106
14	57	95
2	65	83
27	46	160
17	88	96
49	90	77
10	68	166
67	77	35
38	83	184
34	86	54
69	90	182
44	59	29
39	61	195
7	69	38
3	35	31
43	93	139
5	49	66
17	78	149
24	89	83
9	10	161
71	92	56
11	46	80
16	48	118
28	87	67
34	74	148
83	100	62
42	58	147
6	12	37
35	54	88
39	47	85
50	72	45
47	97	68
13	82	188
7	87	99
91	94	134
42	64	58
40	49	116
4	71	21
34	36	44
14	63	110
9	36	85
50	55	28
4	43	174
35	94	74
12	82	12
62	98	18
8	54	91
23	67	108
7	62	64
38	39	137
83	90	52
4	29	45
43	57	195
12	67	125
4	28	78
46	91	85
31	39	37
41	45	133
35	36	81
62	99	45
38	40	17
36	66	102
6	7	27
53	84	75
14	88	174
52	82	168
46	73	189
41	46	177
34	64	134
16	53	127
19	48	164
23	36	175
2	89	122
37	55	3
26	78	154
49	67	85
62	63	133
74	75	144
26	82	43
76	100	49
35	77	149
1	34	39
35	97	33
20	84	103
24	48	157
27	30	107
62	68	144
93	95	156
40	64	22
49	51	77
9	50	18
37	42	58
70	94	145
4	73	65
11	66	36
22	25	7
9	32	46
1	25	78
1	57	175
51	59	166
65	80	144
82	88	26
51	99	200
34	83	100
48	53	95
45	71	35
81	93	33
69	77	156
68	85	125
82	99	127
21	83	102
27	37	116
36	49	1
51	76	158
44	67	112
21	64	38
30	61	127
36	97	187
18	89	13
75	97	8
2	32	158
31	78	142
13	62	94
26	28	164
13	97	32
22	33	108
13	58	144
9	31	73
59	81	110
12	48	94
4	11	108
16	83	88
6	49	89
56	60	38
16	96	71
48	85	7
30	72	82
62	96	133
26	40	3
3	4	129
40	74	12
11	64	96
6	33	68
25	53	4
22	80	148
22	86	14
14	53	99
13	39	74
60	73	72
58	66	139
29	47	198
52	70	154
6	51	189
74	87	161
46	76	94
32	93	196
75	100	95
44	84	90
31	52	80
35	89	31
15	38	85
10	31	158
7	36	21
18	43	23
50	88	130
57	95	195
21	56	50
84	98	199
4	79	85
12	35	152
15	93	8
15	100	100
40	59	66
9	11	98
21	48	125
32	89	34
9	25	135
28	45	175
5	70	81
91	100	116
26	68	8
69	85	189
10	33	26
16	21	88
67	93	35
97	100	180
46	66	121
12	32	73
20	35	197
19	38	112
18	25	83
32	65	187
21	61	107
9	93	96
27	98	193
42	68	35
17	58	105
3	95	82
38	73	24
39	76	29
42	49	119
40	66	165
10	77	177
96	97	75
9	54	175
57	88	28
30	84	106
32	78	100
34	59	57
14	81	162
13	78	67
57	84	187
2	73	71
27	70	113
28	46	178
2	17	188
82	87	73
15	85	1
9	47	159
1	24	195
6	58	82
23	39	95
5	38	145
11	91	69
13	73	128
46	85	156
27	67	56
30	62	140
73	96	144
27	92	66
3	67	161
61	98	199
59	63	16
17	32	162
53	61	53
45	53	16
26	49	12
20	28	169
5	23	25
94	95	188
48	91	90
86	94	110
16	89	143
3	10	159
4	94	45
20	42	69
32	64	148
44	80	85
75	77	126
30	38	135
88	92	145
33	91	114
30	39	182
25	97	48
58	76	74
64	70	147
10	84	21
34	99	96
21	31	90
18	29	67
4	30	54
29	65	163
46	59	85
32	71	167
85	88	193
40	99	185
9	39	28
28	49	98
49	83	96
12	61	46
47	66	20
27	56	97
29	36	130
30	98	3
75	81	119
75	89	152
36	90	99
5	13	67
46	87	50
42	92	124
10	18	66
86	99	151
8	9	30
50	92	167
1	58	177
3	77	122
33	71	63
70	71	183
42	56	137
27	88	94
54	72	128
56	83	31
26	46	196
7	57	141
17	24	164
33	67	132
4	39	113
16	45	121
50	100	14
52	99	49
87	91	35
30	97	109
32	44	139
6	63	76
86	91	122
40	85	145
23	54	115
40	55	143
32	41	48
69	98	130
59	97	179
25	59	64
43	59	53
9	72	127
16	56	182
55	59	137
6	92	164
40	53	190
7	24	119
34	73	48
36	85	180
37	73	45
27	77	16
37	38	128
5	97	112
28	65	185
64	69	55
38	85	150
74	86	160
50	86	146
88	89	4
11	86	46
44	61	149
33	96	53
1	69	180
2	21	92
44	78	161
17	74	57
55	83	105
57	100	50
22	74	28
1	27	2
20	50	15
15	30	153
35	92	160
29	50	65
48	78	121
30	73	192
40	68	190
25	86	170
9	60	34
61	100	134
35	80	135
35	56	125
47	92	20
76	88	6
50	99	28
14	79	126
27	64	93
79	85	158
22	40	198
20	53	117
31	94	109
65	94	47
1	87	111
12	59	190
64	72	129
58	94	192
28	48	191
14	47	106
59	64	11
5	67	116
47	78	24
56	63	108
32	92	119
1	16	151
15	26	10
12	70	45
36	67	47
17	79	116
2	24	120
49	70	72
27	85	48
26	32	50
13	27	72
1	8	30
28	54	156
21	33	162
27	86	119
23	83	116
58	81	166
9	45	75
24	75	12
31	65	137
62	65	121
10	98	30
39	64	176
70	77	184
66	94	17
20	77	179
22	58	140
33	37	44
42	71	40
44	68	26
12	77	35
25	26	190
75	88	138
11	51	138
52	69	11
32	35	97
77	92	81
42	65	14
43	69	96
4	44	79
38	74	90
52	85	19
28	97	177
16	60	137
27	59	118
30	71	11
44	83	146
85	90	155
36	64	147
59	88	173
71	90	64
50	68	134
36	59	152
40	95	155
4	31	48
70	92	148
65	75	28
14	70	66
42	74	121
24	31	175
5	47	48
37	86	21
86	92	13
33	89	74
65	84	168
3	44	43
38	76	19
45	66	71
2	35	158
38	94	101
30	66	120
25	98	31
15	77	31
1	66	49
